judul,harga,gambar
Buku Merek Dagang Tingkatkan Ekonomi Kreatif,66000,https://deepublishstore.com/wp-content/uploads/2021/03/Merek-Dagang_Suryansyah_Rev-2.0_70gr_Convert_Depan-scaled-300x400.jpg
"Buku Pajak Lalu Lintas Barang (Kepabeanan, Ek...",127000,https://deepublishstore.com/wp-content/uploads/2021/02/Pajak-Lalu-Lintas-Barang_Astri-Warih-Anjarwi-rev-5.0-80gr-depan-scaled-300x400.jpg
Buku Pajak Internasional,122000,https://deepublishstore.com/wp-content/uploads/2021/01/Pajak-Internasional_Kartika-Putri-K-Rev-1.0_70gr_Convert_Depan-scaled-300x400.jpg
Buku Govermental Accounting (Akuntansi Pemeri...,163000,https://deepublishstore.com/wp-content/uploads/2020/03/Govermental-Accounting_Anwar-Sadat-rev-1.0-80gr-Convert-depan-scaled-300x400.jpg
Buku Sistem Informasi Akuntansi dengan Pendek...,107000,https://deepublishstore.com/wp-content/uploads/2020/02/Sistem-Informasi-Akuntansi_Taufan-Adi-rev-1.0-Convert-depan-scaled-300x400.jpg
Buku Manajemen Usaha Kecil dan Kewirausahaan,67000,https://deepublishstore.com/wp-content/uploads/2018/11/Manajemen-Usaha-Kecil-dan-Kewirausahaan_Dyanasari-depan-300x400.jpg
Akuntansi: Lembaga Keuangan Syariah 1,173000,https://deepublishstore.com/wp-content/uploads/2016/10/Akuntansi-Lembaga-Keuangan-Syariah-1-1-200x267.jpg
Buku Akuntansi Sektor Publik,100000,https://deepublishstore.com/wp-content/uploads/2025/07/2505164_UNMAS_Akuntansi-Sektor-Publik_Ida-Ayu-Ratih-70gr-Convert-Depan-200x267.jpg
Buku Digital Entrepreneurship,174000,https://deepublishstore.com/wp-content/uploads/2023/10/digital-entre-cover-200x267.png
Buku Perilaku Konsumen (Edisi Revisi),146000,https://deepublishstore.com/wp-content/uploads/2023/08/perilaku-konsumen-cover-200x267.png
Buku Teknik Penyusunan Laporan Keuangan Berba...,122000,https://deepublishstore.com/wp-content/uploads/2023/01/laporan-keuangan-200x267.png
